Release 6.1i - Fit G.38
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 5-11-2017  2:09AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  spi6502b.ngd
output file: spi6502b_pad.csv
Part type:   xc9572xl
Speed grade: -10
Package:     pc44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O,,,,,,,,,,
P2,cpu_d<0>,I/O,I/O,BIDIR,,,,,,,,,
P3,cpu_d<1>,I/O,I/O,BIDIR,,,,,,,,,
P4,cpu_d<2>,I/O,I/O,BIDIR,,,,,,,,,
P5,cpu_Nphi2,I,I/O/GCK1,INPUT,,,,,,,,,
P6,extclk,GCK/I,I/O/GCK2,,,,,,,,,,
P7,cpu_rnw,I,I/O/GCK3,INPUT,,,,,,,,,
P8,cpu_d<3>,I/O,I/O,BIDIR,,,,,,,,,
P9,cpu_d<4>,I/O,I/O,BIDIR,,,,,,,,,
P10,GND,,GND,,,,,,,,,,
P11,cpu_d<5>,I/O,I/O,BIDIR,,,,,,,,,
P12,cpu_d<6>,I/O,I/O,BIDIR,,,,,,,,,
P13,cpu_d<7>,I/O,I/O,BIDIR,,,,,,,,,
P14,noe,O,I/O,OUTPUT,,,,,,,,,
P15,TDI,,TDI,,,,,,,,,,
P16,TMS,,TMS,,,,,,,,,,
P17,TCK,,TCK,,,,,,,,,,
P18,Ncs2,I,I/O,INPUT,,,,,,,,,
P19,cpu_Nres,I,I/O,INPUT,,,,,,,,,
P20,ng,O,I/O,OUTPUT,,,,,,,,,
P21,VCC,,VCCINT,,,,,,,,,,
P22,cpu_a<0>,I,I/O,INPUT,,,,,,,,,
P23,GND,,GND,,,,,,,,,,
P24,cpu_a<1>,I,I/O,INPUT,,,,,,,,,
P25,b8,O,I/O,OUTPUT,,,,,,,,,
P26,b9,O,I/O,OUTPUT,,,,,,,,,
P27,b10,O,I/O,OUTPUT,,,,,,,,,
P28,spi_Nsel,O,I/O,OUTPUT,,,,,,,,,
P29,led,O,I/O,OUTPUT,,,,,,,,,
P30,TDO,,TDO,,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,VCC,,VCCIO,,,,,,,,,,
P33,TIE,,I/O,,,,,,,,,,
P34,spi_sclk,O,I/O,OUTPUT,,,,,,,,,
P35,spi_mosi,O,I/O,OUTPUT,,,,,,,,,
P36,a8,I,I/O,INPUT,,,,,,,,,
P37,a9,I,I/O,INPUT,,,,,,,,,
P38,a10,I,I/O,INPUT,,,,,,,,,
P39,cpu_Nirq,O,I/O/GSR,OUTPUT,,,,,,,,,
P40,nio_sel,I,I/O/GTS2,INPUT,,,,,,,,,
P41,VCC,,VCCINT,,,,,,,,,,
P42,spi_int,I,I/O/GTS1,INPUT,,,,,,,,,
P43,nio_stb,I,I/O,INPUT,,,,,,,,,
P44,spi_miso,I,I/O,INPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


